Name,Gender,City,Passed
Laiba,Female,Peshawar,No
Farhan,Male,Quetta,No
Junaid,Male,Rawalpindi,No
Talha,Male,Karachi,No
Anum,Female,Lahore,No
Hina2,Female,Faisalabad,Yes
Nabeel,Male,Faisalabad,No
Hammad,Male,Islamabad,No
Bilal,Male,Lahore,No
Zain,Male,Faisalabad,Yes
Hamza,Male,Karachi,Yes
Iqra,Female,Karachi,Yes
Mahnoor,Female,Quetta,Yes
Saad,Male,Islamabad,Yes
Sumaira,Female,Rawalpindi,Yes
Kiran,Female,Lahore,Yes
Rizwan,Male,Lahore,No
Maryam,Female,Rawalpindi,Yes
Hina,Female,Peshawar,Yes
Shahid,Male,Peshawar,No
Maira,Female,Islamabad,Yes
Khalid,Male,Karachi,Yes
Noor,Female,Peshawar,Yes
Rida,Female,Islamabad,No
Arham,Male,Quetta,No
Laiba2,Female,Peshawar,No
Erum,Female,Quetta,No
Hiba,Female,Faisalabad,No
Zara,Female,Quetta,Yes
Sameer,Male,Faisalabad,No
Ahmed,Male,Islamabad,Yes
Sehrish,Female,Quetta,No
Adnan,Male,Quetta,Yes
Omar,Male,Quetta,Yes
Sara,Female,Islamabad,Yes
Fatima,Female,Quetta,No
Fahad,Male,Rawalpindi,No
Daniyal,Male,Quetta,No
Sana,Female,Lahore,Yes
Rehan,Male,Karachi,Yes
Yasir,Male,Rawalpindi,No
Shayan,Male,Karachi,Yes
Ifra,Female,Karachi,Yes
Mehwish,Female,Faisalabad,No
Usman,Male,Lahore,No
Imran,Male,Lahore,No
Amna,Female,Karachi,Yes
Areeba,Female,Islamabad,No
Aisha,Female,Rawalpindi,No
Ali,Male,Faisalabad,No
