student_id,name,age,city,cgpa,attendance,department,phone,email
1,Student_1,,,,97.5,IT,N/A,
2,Student_2,21,Rawalpindi,,-5,AI,0346831292,student54@gmail.com
3,Student_3,22,,-1,97.5,,000,student107@gmail.com
4,Student_4,,Islamabad,,-5,EE,N/A,student193@gmail.com
5,Student_5,20,Multan,-1,97.5,,,student51@gmail.com
6,Student_6,0,Peshawar,2.79,-5,,0346831292,student181@gmail.com
7,Student_7,22,Faisalabad,2.79,97.5,SE,N/A,student36@gmail.com
8,Student_8,22,Karach,2.79,,,0346831292,student115@gmail.com
9,Student_9,,,2.79,97.5,IT,0346831292,student26@gmail.com
10,Student_10,19,Quetta,-1,-5,,0346831292,student29@gmail.com
11,Student_11,20,Karachi,,97.5,IT,000,student149@gmail.com
12,Student_12,,Islamabad,2.79,97.5,,000,student11@gmail.com
13,Student_13,20,,,97.5,SE,,student40@gmail.com
14,Student_14,20,Lahor,-1,,EE,,student11@gmail.com
15,Student_15,0,Faisalabad,-1,97.5,IT,N/A,student164@gmail.com
16,Student_16,22,Karach,-1,,IT,,student113@gmail.com
17,Student_17,21,Peshawar,2.79,,C.S,0346831292,student187@gmail.com
18,Student_18,0,Faisalabad,,97.5,,0346831292,student39@gmail.com
19,Student_19,0,,,97.5,BBA,000,student232@gmail.com
20,Student_20,20,Rawalpindi,,97.5,,0346831292,student227@gmail.com
21,Student_21,23,Karachi,-1,-5,C.S,N/A,student54@gmail.com
22,Student_22,22,Karachi,2.79,97.5,CS,0346831292,student98@gmail.com
23,Student_23,19,,-1,,,0346831292,student55@gmail.com
24,Student_24,0,Rawalpindi,-1,97.5,EE,N/A,student111@gmail.com
25,Student_25,21,Lahor,,-5,C.S,,student152@gmail.com
26,Student_26,23,Multan,-1,97.5,CS,,student246@gmail.com
27,Student_27,23,Lahore,,-5,AI,N/A,student150@gmail.com
28,Student_28,19,Islamabad,2.79,-5,C.S,000,student69@gmail.com
29,Student_29,0,Karachi,,97.5,AI,0346831292,student56@gmail.com
30,Student_30,21,Quetta,2.79,,IT,N/A,student33@gmail.com
31,Student_31,22,Karachi,,-5,C.S,0346831292,student250@gmail.com
32,Student_32,18,Faisalabad,-1,97.5,SE,000,student36@gmail.com
33,Student_33,21,Karachi,-1,97.5,AI,0346831292,student239@gmail.com
34,Student_34,19,Karach,2.79,,EE,N/A,student148@gmail.com
35,Student_35,23,Karachi,2.79,-5,SE,0346831292,student211@gmail.com
36,Student_36,22,Lahore,2.79,-5,,,student227@gmail.com
37,Student_37,21,Lahore,,97.5,,000,student244@gmail.com
38,Student_38,18,Lahor,,97.5,CS,000,student235@gmail.com
39,Student_39,18,Peshawar,2.79,,IT,000,student81@gmail.com
40,Student_40,20,Multan,-1,,C.S,N/A,student190@gmail.com
41,Student_41,20,Quetta,,-5,BBA,000,
42,Student_42,,Karachi,,-5,EE,,student109@gmail.com
43,Student_43,19,Karachi,,97.5,AI,N/A,student235@gmail.com
44,Student_44,0,Islamabad,2.79,-5,SE,,student226@gmail.com
45,Student_45,21,Lahore,2.79,,,0346831292,student201@gmail.com
46,Student_46,21,Quetta,2.79,,EE,0346831292,student154@gmail.com
47,Student_47,0,Lahor,2.79,97.5,BBA,0346831292,student194@gmail.com
48,Student_48,,,2.79,,C.S,0346831292,student245@gmail.com
49,Student_49,23,Peshawar,-1,,CS,,student73@gmail.com
50,Student_50,23,Multan,-1,,BBA,N/A,student201@gmail.com
51,Student_51,,Rawalpindi,2.79,,EE,N/A,student40@gmail.com
52,Student_52,23,Multan,,97.5,BBA,000,student17@gmail.com
53,Student_53,20,Karach,2.79,97.5,EE,,student129@gmail.com
54,Student_54,21,Faisalabad,-1,-5,EE,0346831292,student217@gmail.com
55,Student_55,,Karach,-1,,,,student61@gmail.com
56,Student_56,21,Karachi,,-5,AI,000,student171@gmail.com
57,Student_57,0,Peshawar,-1,97.5,,000,student104@gmail.com
58,Student_58,18,Faisalabad,2.79,97.5,,,student42@gmail.com
59,Student_59,20,Quetta,,97.5,C.S,,student25@gmail.com
60,Student_60,22,Rawalpindi,2.79,97.5,,,student39@gmail.com
61,Student_61,20,Lahore,2.79,97.5,IT,N/A,student35@gmail.com
62,Student_62,,Peshawar,,97.5,IT,0346831292,student131@gmail.com
63,Student_63,22,Peshawar,2.79,97.5,,,student242@gmail.com
64,Student_64,18,Karach,-1,,BBA,,student229@gmail.com
65,Student_65,,Karachi,2.79,-5,AI,,student108@gmail.com
66,Student_66,19,,,97.5,,000,student172@gmail.com
67,Student_67,21,Lahor,,,EE,000,student179@gmail.com
68,Student_68,18,Karach,,,SE,N/A,student222@gmail.com
69,Student_69,21,Peshawar,2.79,-5,AI,0346831292,student102@gmail.com
70,Student_70,23,Islamabad,,97.5,AI,N/A,student98@gmail.com
71,Student_71,19,Rawalpindi,,-5,EE,0346831292,student12@gmail.com
72,Student_72,19,Lahor,2.79,97.5,EE,000,student19@gmail.com
73,Student_73,18,Karach,-1,,CS,000,student101@gmail.com
74,Student_74,19,Rawalpindi,2.79,,,000,student44@gmail.com
75,Student_75,22,Islamabad,,,EE,N/A,student187@gmail.com
76,Student_76,19,,,,IT,,
77,Student_77,21,Islamabad,2.79,-5,C.S,,student49@gmail.com
78,Student_78,21,Islamabad,-1,97.5,SE,000,student189@gmail.com
79,Student_79,,Rawalpindi,,97.5,,,student17@gmail.com
80,Student_80,21,Multan,,-5,IT,,student74@gmail.com
81,Student_81,,Rawalpindi,,97.5,BBA,N/A,student57@gmail.com
82,Student_82,21,,2.79,,EE,0346831292,student55@gmail.com
83,Student_83,22,Karachi,,97.5,EE,000,student241@gmail.com
84,Student_84,0,Faisalabad,-1,,AI,000,student47@gmail.com
85,Student_85,,Multan,,-5,IT,N/A,student12@gmail.com
86,Student_86,20,Lahore,,97.5,AI,N/A,student62@gmail.com
87,Student_87,23,Faisalabad,-1,-5,CS,,student80@gmail.com
88,Student_88,18,Karachi,,97.5,AI,000,student216@gmail.com
89,Student_89,21,Karach,2.79,,CS,0346831292,student83@gmail.com
90,Student_90,19,Lahor,2.79,-5,CS,N/A,student8@gmail.com
91,Student_91,0,,2.79,97.5,EE,0346831292,student223@gmail.com
92,Student_92,21,,-1,,BBA,0346831292,student149@gmail.com
93,Student_93,19,Lahore,,-5,AI,000,student81@gmail.com
94,Student_94,23,Multan,2.79,-5,IT,000,student215@gmail.com
95,Student_95,23,,-1,97.5,CS,N/A,student229@gmail.com
96,Student_96,23,Islamabad,,97.5,EE,000,student118@gmail.com
97,Student_97,19,Multan,-1,97.5,SE,000,student208@gmail.com
98,Student_98,21,Lahor,2.79,,,000,student198@gmail.com
99,Student_99,23,,2.79,97.5,BBA,0346831292,student200@gmail.com
100,Student_100,22,,2.79,-5,,N/A,student25@gmail.com
101,Student_101,,Rawalpindi,-1,-5,SE,,student210@gmail.com
102,Student_102,19,Lahor,-1,97.5,,0346831292,student89@gmail.com
103,Student_103,19,Karachi,2.79,97.5,SE,000,student12@gmail.com
104,Student_104,21,Lahore,-1,-5,AI,0346831292,student143@gmail.com
105,Student_105,19,Karachi,2.79,,CS,000,student59@gmail.com
106,Student_106,19,Lahor,2.79,97.5,BBA,000,student154@gmail.com
107,Student_107,23,Quetta,,97.5,C.S,0346831292,student233@gmail.com
108,Student_108,21,Quetta,-1,-5,CS,N/A,student109@gmail.com
109,Student_109,23,Karach,2.79,97.5,C.S,000,student26@gmail.com
110,Student_110,,Multan,2.79,,,N/A,student47@gmail.com
111,Student_111,0,,-1,-5,EE,,student32@gmail.com
112,Student_112,,,,97.5,,000,student10@gmail.com
113,Student_113,0,Islamabad,,-5,IT,N/A,student16@gmail.com
114,Student_114,23,Islamabad,2.79,97.5,CS,N/A,student199@gmail.com
115,Student_115,,Islamabad,-1,97.5,BBA,,student145@gmail.com
116,Student_116,21,Rawalpindi,,97.5,SE,N/A,student151@gmail.com
117,Student_117,18,Faisalabad,-1,,BBA,N/A,student26@gmail.com
118,Student_118,23,Peshawar,-1,,,,student213@gmail.com
119,Student_119,0,Faisalabad,2.79,-5,C.S,000,student86@gmail.com
120,Student_120,22,Karachi,,97.5,SE,N/A,student250@gmail.com
121,Student_121,0,Faisalabad,2.79,97.5,IT,N/A,student135@gmail.com
122,Student_122,22,Rawalpindi,,,IT,N/A,student14@gmail.com
123,Student_123,19,Karach,,97.5,CS,0346831292,student79@gmail.com
124,Student_124,,Karachi,,,,,student117@gmail.com
125,Student_125,22,Faisalabad,,97.5,EE,0346831292,student7@gmail.com
126,Student_126,0,Rawalpindi,,-5,,,student137@gmail.com
127,Student_127,19,Peshawar,-1,97.5,C.S,000,student115@gmail.com
128,Student_128,18,Faisalabad,2.79,97.5,BBA,000,student176@gmail.com
129,Student_129,21,Rawalpindi,-1,,IT,N/A,student72@gmail.com
130,Student_130,21,Islamabad,,97.5,BBA,,student242@gmail.com
131,Student_131,21,,2.79,97.5,BBA,000,student59@gmail.com
132,Student_132,22,Islamabad,,,BBA,,student215@gmail.com
133,Student_133,18,,2.79,-5,IT,000,student221@gmail.com
134,Student_134,22,Lahore,-1,-5,AI,0346831292,student82@gmail.com
135,Student_135,,Lahore,2.79,,C.S,000,student223@gmail.com
136,Student_136,22,Lahore,2.79,,C.S,0346831292,student222@gmail.com
137,Student_137,18,Peshawar,2.79,,SE,000,student116@gmail.com
138,Student_138,18,Islamabad,2.79,,,N/A,student167@gmail.com
139,Student_139,,,2.79,,,0346831292,student227@gmail.com
140,Student_140,18,Rawalpindi,,-5,,000,student146@gmail.com
141,Student_141,0,Karachi,2.79,-5,,N/A,student187@gmail.com
142,Student_142,18,Rawalpindi,2.79,,IT,0346831292,student234@gmail.com
143,Student_143,21,Karachi,-1,97.5,EE,N/A,student103@gmail.com
144,Student_144,0,Quetta,2.79,,CS,,student17@gmail.com
145,Student_145,0,Rawalpindi,-1,97.5,,,student14@gmail.com
146,Student_146,,Faisalabad,,,CS,0346831292,student159@gmail.com
147,Student_147,20,Faisalabad,2.79,,C.S,000,student152@gmail.com
148,Student_148,20,Multan,-1,-5,CS,0346831292,student227@gmail.com
149,Student_149,18,Islamabad,-1,97.5,CS,N/A,student108@gmail.com
150,Student_150,0,Karachi,,97.5,,000,student188@gmail.com
151,Student_151,20,Karachi,2.79,-5,SE,,student45@gmail.com
152,Student_152,20,Lahor,2.79,-5,BBA,000,student98@gmail.com
153,Student_153,18,Karach,-1,-5,,,student131@gmail.com
154,Student_154,20,Islamabad,2.79,-5,,000,student37@gmail.com
155,Student_155,22,Peshawar,-1,97.5,IT,000,student171@gmail.com
156,Student_156,19,Multan,2.79,97.5,,000,student168@gmail.com
157,Student_157,,Peshawar,-1,,IT,N/A,student218@gmail.com
158,Student_158,19,Peshawar,2.79,,EE,N/A,student183@gmail.com
159,Student_159,18,Peshawar,,-5,EE,0346831292,student215@gmail.com
160,Student_160,21,Islamabad,2.79,-5,IT,0346831292,student108@gmail.com
161,Student_161,,Peshawar,2.79,-5,,,student39@gmail.com
162,Student_162,18,Faisalabad,,,IT,N/A,student15@gmail.com
163,Student_163,0,Karach,2.79,,,,student120@gmail.com
164,Student_164,21,Karach,,,AI,0346831292,student241@gmail.com
165,Student_165,19,Lahore,2.79,,CS,,student4@gmail.com
166,Student_166,18,Quetta,-1,,AI,0346831292,student93@gmail.com
167,Student_167,0,Karachi,-1,,,N/A,student214@gmail.com
168,Student_168,,Lahor,2.79,,AI,000,student153@gmail.com
169,Student_169,,Karachi,2.79,-5,EE,N/A,student141@gmail.com
170,Student_170,23,Quetta,2.79,-5,C.S,,student210@gmail.com
171,Student_171,0,Lahor,-1,-5,CS,,student161@gmail.com
172,Student_172,22,Islamabad,2.79,-5,BBA,N/A,student16@gmail.com
173,Student_173,20,Rawalpindi,-1,,,N/A,student237@gmail.com
174,Student_174,21,Islamabad,,97.5,CS,0346831292,student170@gmail.com
175,Student_175,0,Karachi,-1,,AI,,student108@gmail.com
176,Student_176,23,Karachi,-1,97.5,EE,,student126@gmail.com
177,Student_177,20,Lahor,,-5,SE,N/A,student194@gmail.com
178,Student_178,20,Lahor,-1,,BBA,000,student55@gmail.com
179,Student_179,18,Quetta,2.79,-5,CS,,student227@gmail.com
180,Student_180,20,Peshawar,2.79,,EE,000,student170@gmail.com
181,Student_181,22,Islamabad,-1,-5,EE,N/A,student34@gmail.com
182,Student_182,,Lahor,2.79,97.5,AI,N/A,student158@gmail.com
183,Student_183,23,,-1,97.5,,0346831292,
184,Student_184,20,Quetta,2.79,97.5,AI,,student247@gmail.com
185,Student_185,18,Faisalabad,2.79,,,000,student13@gmail.com
186,Student_186,22,Karachi,-1,97.5,,0346831292,student141@gmail.com
187,Student_187,19,Quetta,2.79,,BBA,,student18@gmail.com
188,Student_188,,Islamabad,-1,97.5,AI,0346831292,student160@gmail.com
